switch/name,switch/url,switch/price,switch/description
TTC Silent Red V2 Linear Switches,https://kbdfans.com/collections/switches/products/ttc-silent-red-v2-switches,$6.00,Specs Linear 45 cN operating force 1.8 mm pre travel 3.8 mm total travel Plate mount 3pin MX stem
Kailh Box Silent Pink/Brown Switches,https://kbdfans.com/collections/switches/products/kailh-box-silent-switches-pink-brown-1,$6.00,Kailh BOX Silent Switches. BOX switches are IP56 waterproof/dustproof. Only SMD compatible. Not compatible with other LEDs. These switches are sold in packs of 10. Quantity 1 = 10 switches. Kailh BOX Silent Pink Linear 35g Operating force 1.8mm Actuation 3.6mm Bottom Plate mount 3pin MX stem Spec sheet: Click Kailh BOX Silent Brown Tactile 45g Operating force 2mm Actuation 3.6mm Bottom Plate mount 3pin MX stem Spec sheet: Click
Novelkeys X kailh Blueberry Tactile switches,https://kbdfans.com/collections/switches/products/novelkeys-x-kailh-blueberry-swicthes,$6.50,"SPECS Sold in quantities of 10 pcs Tactile | 4.0mm travel | 3.0mm Actuation | 70g Peak Force | 55g Actuation | 80g Bottom Out | PCB Mount Featuring the same material as the Cream switches. Very long tactile bump that ends at 3mm, which is the actuation point."
Pls do not delete it! (70 Switches Option),https://kbdfans.com/collections/switches/products/switch-68-cherry-gateron-zealio-2,$22.00,Friendly remind: A pack contains 70 switches
TTC Gold Pink linear Switches,https://kbdfans.com/collections/switches/products/ttc-gold-pink-mechanical-keyboard-switches,$4.90,"10 switches per pack Switchtype: linear Cover:transparentcover Base:lightgolden Button:GirlyPink Contactpoles:unipolarcontact Contactmaterial:goldalloy Operatingforce:37±5gf Pre-travel:2.0±0.3mm Totaltravel:4.0-0.3mm Duration:100millionkeystrokes Switchingvoltage:2~12VDC Switchingcurrent:10μA~10mADC Contactresistance:500mΩMax Insulationresistance:100MΩMin Being a switch with lightest operating force, the TTC Gold Pink switch brings comfort and smoothness to long time typing & gaming. Straightupanddownlinearswitch,lighterthan ordinary red switch; Smoothoperationandsmoothinputexperience Thetoleranceof±5gramsforceisjust1/3of the ordinary switch (±15 grams force), which makes the feedback of each key stroke consistently; Builtwithqualityelasticmaterialanddouble gold contact structure, the service life is up to 100 million strikes, which is twice that of ordinary mechanical switches. PatentedTTCdualwallstructure,beautifuland exquisite, elegant, dust-proof effect is 3 times that of ordinary switches Dualwallstructure,helpsswitchstaystable https://cdn.shopify.com/s/files/1/1473/3902/files/Gold_Pink.pdf?v=1588662007"
Turquoise Tealios Linear Switches,https://kbdfans.com/collections/switches/products/turquoise-tealios-switches-linear,$12.00,"1 pack = 10 switches 63.5g Turquoise Tealios feature a vibrant Tiffany blue housing and stem, carefully matched to be a vivid and colorful switch that everyone knows and loves."
KBDfans x MITO Custom Laser Cyan/Pink Linear Switches,https://kbdfans.com/collections/switches/products/kbdfans-x-mito-custom-laser-switches,$6.50,Specs Manufactured by Gateron Lifespan: Over 50 million keystrokes Laser switches（Cyan） 60g x10 Linear 60 g bottom force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem Laser switches（Pink） 70g x10 Linear 70 g bottom force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Gateron Milk Black Linear switches,https://kbdfans.com/collections/switches/products/gateron-milk-black-switches,$2.40,Specs Black Linear 60 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Switches x 100,https://kbdfans.com/collections/switches/products/switches-x-100,$20.00,Friendly remind: 100 switches per pack
ZEAL Tealios/Zealios/Healios/Zilents V2 switches,https://kbdfans.com/collections/switches/products/zealios-tealios-zilents,$11.00,"Sold in packs of 10. Quantity 1 = 10 switches SPECS Manufactory: Gateron Brand: Zeal PC Tealios v2- 67g - Linear,Mx switch, Bottom out:67gPCB mount 5-pin,POM stem,PC housing, Total Travel:4mm Zealios v2- 62g -Tactile,Mx switch, Bottom out:62g, PCB mount 5-pin,POM stem,PC housing Zealios v2- 65g -Tactile,Mx switch, Bottom out:65g, PCB mount 5-pin,POM stem,PC housing Zealios v2- 67g -Tactile,Mx switch, Bottom out:67g, PCB mount 5-pin,POM stem,PC housing Zealios v2- 78g -Tactile, Mx switch, Bottom out:78g, PCB mount 5-pin, POM stem, PC housing Zilents v2- 62g - Tactile (Blue),Mx switch, Bottom out:62g, PCB mount 5-pin, POM stem, PC housing Zilents v2- 65g - Tactile (Blue),Mx switch, Bottom out:65g, PCB mount 5-pin, POM stem, PC housing Zilents v2- 67g - Tactile (Blue),Mx switch, Bottom out:67g, PCB mount 5-pin, POM stem, PC housing Zilents v2- 78g - Tactile (Blue),Mx switch, Bottom out:78g, PCB mount 5-pin, POM stem, PC housing Healios- 63.5g - Linear (Orange),Mx switch, Bottom out:63.5g, PCB mount 5-pin, POM stem, PC housing"
ZEAL Rosélios / Sakurios Silent Linear Switches,https://kbdfans.com/collections/switches/products/roselios-sakurios-silent-linear-switches,$12.95,1 pack = 10 switches SPECS Zeal PC Available in quantities of 70 or 110 Rosélios switches: 67 g force Rosélios feature Pantone 189C stem Sakurios switches: 62 g force Sakurios feature Pantone 1765C stem
Cherry MX RGB Pink Silent linear Switches,https://kbdfans.com/collections/switches/products/cherry-mx-rgb-silent-pink-10pcs,$7.50,Specs Linear 45 cN operating force 1.9 mm pre travel 3.7 mm total travel Plate mount 3pin MX stem REVIEW : Cherry MX Silent Red/Pink - Sound Tests https://www.taekeyboards.com/single-post/REVIEW-CHERRY-MX-SILENT-REDPINK---SOUND-TESTS
Novelkeys x Kailh Cream/Cream Chocolate Linear Switches,https://kbdfans.com/collections/switches/products/novelkey-x-kailh-linear-cream-switch,$6.50,"The switches are sold in packs of 10. Quantity 1 = 10 switches. Cream Switches NovelKeys Cream switches are a brand new linear switch. Featuring housing and stem that is made out of self lubricating POM, this linear is a smooth and unique experience. The switch is also a first for Kailh, as it features MX style latching for the housing. NovelKeys Cream - Linear | 4mm travel | 2mm operating | 55g actuation | 70g bottom out NovelKeys x Kailh Cream Chocolate POM Switch - Linear | 4 mm travel | 2 mm operating | 55g actuation | 70g bottom out The parameters are the same as the Novelkeys Cream, Housing and Stem are made from POM material and are custom colors of the Cream Switch"
CHERRY MX RED SILENT Linear Switches,https://kbdfans.com/collections/switches/products/cherry-mx-silent-red,$5.50,Specs Linear 45 cN operating force 1.9 mm pre travel 3.7 mm total travel Plate mount 3pin MX stem Technical Data
CHERRY MX BLACK SILENT Linear Switches,https://kbdfans.com/collections/switches/products/cherry-mx-silent-black,$5.50,Specs Linear 60 cN operating force 1.9 mm pre travel 3.7 mm total travel Plate mount 3pin MX stem Technical Data
Kailh Box Hako True Tactile Switches,https://kbdfans.com/collections/switches/products/hako-true-mechanical-switches,$5.00,Input Club Hako True Mechanical Keyboard Switch Style Box Tactile Manufacturer Kaihua Community Name Hako True Stem Color Pink Salt Actuation Weight Medium Tactile Method Plastic Half Cylinder with Metal Leaf LED Styles SMD or Through-hole Compatible Tactile Peak Force ~58 gf Actuation Force ~60 gf Bottom-Out Force ~94 gf Spring Force ~95 gf Overall Travel ~3.6 mm Tactile Event ~0.54 mm Actuation ~1.95 mm Cross-Point Gold plated cross-point
Kailh Box Hako Violet Tactile Switches,https://kbdfans.com/collections/switches/products/hako-violet-mechanical-switches,$5.00,Input Club Hako True Mechanical Keyboard Switch Style Box Tactile Manufacturer Kaihua Community Name Hako Violet Stem Color Violet / Lavender Actuation Weight Light Tactile Method Plastic Half Cylinder with Metal Leaf LED Styles SMD or Through-hole Compatible Tactile Peak Force ~39 gf Actuation Force ~28 gf Bottom-Out Force ~50 gf Spring Force ~50 gf Overall Travel ~3.6 mm Tactile Event ~0.58 mm Actuation ~1.88 mm Cross-Point Gold plated cross-point
Kailh Box Royal Tactile switches,https://kbdfans.com/collections/switches/products/kailh-box-royal-switches-10-pcs,$5.00,Specs Tactile 75 cN operating force 1.8 mm pre travel 3.6 mm total travel Plate mount 3pin MX stem Product Details NovelKeys BOX Royal Switches The BOX Royals switch is an extremely tactile switch. This exclusive custom made switch features a newly designed contact leaf making the Royal one of the most tactile MX switches on the market. The BOX switch design makes the Royals IP56 waterproof/dustproof. Only SMD compatible and are not compatible with other LEDs. BOX Royal - Tactile 75g | 3.6mm travel These switches are sold in packs of 10. Quantity 1 = 10 switches. BOX Royal Spec Sheet
KAILH SPEED SWITCHES,https://kbdfans.com/collections/switches/products/kailh-speed-switches,$2.80,Kailh Speed Switches with white bottoms. SMD LED Compatible. Specs: Kailh Gold Clicky 50 cN operating force 1.4 mm pre-travel 3.5 mm total travel Plate mount 3pin MX stem Kailh Bronze Clicky 50 cN operating force 1.1 mm pre-travel 3.5 mm total travel Plate mount 3pin MX stem Kailh Copper Tactile 50 cN operating force 1.4 mm pre-travel 3.5 mm total travel Plate mount 3pin MX stem Kailh Silver Linear 50 cN operating force 1.1 mm pre-travel 3.5 mm total travel Plate mount 3pin MX stem
Cherry RGB Switches,https://kbdfans.com/collections/switches/products/cherry-rgb-switches-black-red-blue-brown-sliver-10pcs,$4.00,Cherry RGB Red Linear 45 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem Cherry RGB Brown Tactile 45 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem Cherry RGB Blue Tactile & Clicky 50 cN operating force 2.2 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem Cherry RGB Black Linear 60 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem Cherry RGB Silver Linear 45 cN operating force 1.2 mm pre travel 3.4 mm total travel Plate mount 3pin MX stem
